Label (Grouping),Year,Total:,No Formal Education,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 64.02, Multnomah County, Oregon!!Estimate",2019,"4,125",0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,282,0,157,232,136,"1,752",758,586,184
"Census Tract 64.03, Multnomah County, Oregon!!Estimate",2019,"3,004",63,0,0,0,0,0,0,0,0,2,70,0,15,19,73,299,74,149,530,260,"1,036",330,51,33
"Census Tract 64.04, Multnomah County, Oregon!!Estimate",2019,"3,058",8,0,0,0,0,15,0,0,0,0,0,11,0,25,0,221,62,166,447,173,"1,126",479,221,104
"Census Tract 65.01, Multnomah County, Oregon!!Estimate",2019,"4,585",0,0,0,0,0,0,0,0,0,0,22,0,37,0,15,436,46,137,707,122,"1,620",962,324,157
"Census Tract 65.02, Multnomah County, Oregon!!Estimate",2019,"3,407",0,0,0,0,0,0,0,0,1,0,0,8,0,109,0,326,17,131,484,173,"1,082",686,251,139
"Census Tract 66.01, Multnomah County, Oregon!!Estimate",2019,"1,993",0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,115,25,69,283,85,764,331,193,114
"Census Tract 66.02, Multnomah County, Oregon!!Estimate",2019,"4,234",0,0,0,0,0,0,0,0,29,0,37,19,0,0,71,245,101,171,455,270,"1,714",845,207,70
"Census Tract 67.01, Multnomah County, Oregon!!Estimate",2019,"2,428",8,0,0,0,0,0,0,0,0,0,0,0,19,0,7,259,36,97,297,149,"1,028",382,78,68
"Census Tract 67.02, Multnomah County, Oregon!!Estimate",2019,"2,581",39,0,0,0,0,0,0,0,0,0,73,13,0,4,8,203,38,120,310,150,909,424,197,93
"Census Tract 68.01, Multnomah County, Oregon!!Estimate",2019,"1,757",0,0,0,0,0,0,0,0,0,0,10,8,22,18,9,149,37,56,193,67,547,417,182,42
"Census Tract 68.02, Multnomah County, Oregon!!Estimate",2019,"2,595",41,0,0,0,0,0,0,0,2,0,4,17,0,0,15,140,0,81,320,128,705,580,288,274
"Census Tract 69, Multnomah County, Oregon!!Estimate",2019,"2,060",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,101,2,38,284,49,793,436,281,63
"Census Tract 70, Multnomah County, Oregon!!Estimate",2019,"5,850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,59,187,436,306,"2,082","1,663",525,392
"Census Tract 71, Multnomah County, Oregon!!Estimate",2019,"2,051",0,0,0,0,0,0,21,0,0,0,0,0,12,21,30,293,48,164,405,146,645,122,111,33
"Census Tract 72.01, Multnomah County, Oregon!!Estimate",2019,"2,105",29,0,0,0,0,0,21,0,0,0,8,11,21,54,36,369,83,205,458,120,370,260,43,17
"Census Tract 72.02, Multnomah County, Oregon!!Estimate",2019,"2,510",80,0,0,0,0,0,0,0,11,0,10,46,6,34,92,367,92,49,575,252,657,181,21,37
"Census Tract 73, Multnomah County, Oregon!!Estimate",2019,"1,057",0,0,0,0,0,0,0,3,33,10,50,32,30,40,56,187,175,104,275,6,41,15,0,0
"Census Tract 74, Multnomah County, Oregon!!Estimate",2019,"2,493",92,0,0,0,0,0,0,0,24,0,29,125,0,23,109,275,105,122,437,209,608,249,36,50
"Census Tract 75, Multnomah County, Oregon!!Estimate",2019,"3,888",53,0,0,0,0,0,0,8,0,0,23,9,32,49,53,608,69,93,657,398,"1,239",444,103,50
"Census Tract 76, Multnomah County, Oregon!!Estimate",2019,"2,339",35,0,13,0,0,0,0,0,239,0,21,43,28,0,107,363,115,106,409,231,394,196,29,10
"Census Tract 77, Multnomah County, Oregon!!Estimate",2019,"1,561",31,0,0,6,0,13,0,16,23,18,1,7,20,26,26,381,57,100,204,161,299,129,0,43
"Census Tract 78, Multnomah County, Oregon!!Estimate",2019,"1,672",88,19,0,0,0,0,0,0,0,0,0,0,41,55,23,372,29,145,256,135,322,142,28,17
"Census Tract 79, Multnomah County, Oregon!!Estimate",2019,"3,071",148,0,0,0,0,0,0,0,15,23,10,83,43,43,73,578,93,174,685,243,635,180,35,10
"Census Tract 80.01, Multnomah County, Oregon!!Estimate",2019,"2,345",52,0,0,0,0,0,0,0,0,0,14,0,34,48,91,393,82,206,403,346,428,211,8,29
