Census Tract,Year,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 99.05, Multnomah County, Oregon",2019,"2,360",0,0,10,699,950,504,197
"Census Tract 99.06, Multnomah County, Oregon",2019,"2,700",26,0,46,577,1102,699,250
"Census Tract 99.07, Multnomah County, Oregon",2019,"3,869",89,47,154,1181,1342,632,424
"Census Tract 100.01, Multnomah County, Oregon",2019,"4,051",69,54,157,1396,1412,637,326
"Census Tract 100.02, Multnomah County, Oregon",2019,"3,623",49,0,13,1072,1364,708,417
"Census Tract 101, Multnomah County, Oregon",2019,"6,286",30,119,0,2499,2477,777,384
"Census Tract 102, Multnomah County, Oregon",2019,"4,614",222,101,65,1822,1321,649,434
"Census Tract 103.03, Multnomah County, Oregon",2019,"3,741",0,0,0,1310,1650,543,238
"Census Tract 103.04, Multnomah County, Oregon",2019,"2,691",66,149,208,1034,952,199,83
"Census Tract 103.05, Multnomah County, Oregon",2019,"2,819",35,30,28,867,1185,534,140
"Census Tract 103.06, Multnomah County, Oregon",2019,"3,278",51,0,44,1079,1439,458,207
"Census Tract 104.02, Multnomah County, Oregon",2019,"4,933",117,73,81,1380,1801,"1,081",400
"Census Tract 104.05, Multnomah County, Oregon",2019,"4,094",68,165,113,1260,1567,670,251
"Census Tract 104.07, Multnomah County, Oregon",2019,"3,877",58,0,134,1242,1616,526,301
"Census Tract 104.08, Multnomah County, Oregon",2019,"3,673",30,45,133,1521,1319,327,298
"Census Tract 104.09, Multnomah County, Oregon",2019,"5,438",30,0,156,1508,2128,"1,051",565
"Census Tract 104.10, Multnomah County, Oregon",2019,"2,950",28,27,47,1207,1080,444,117
"Census Tract 104.11, Multnomah County, Oregon",2019,"2,336",44,78,71,1021,812,243,67
"Census Tract 105, Multnomah County, Oregon",2019,"2,801",13,0,15,647,1101,548,477
"Census Tract 106, Multnomah County, Oregon",2019,"2,992",72,28,117,708,1219,438,410
"Census Tract 9800, Multnomah County, Oregon",2019,0,0,0,0,0,0,0,0
"Census Tract 1.01, Multnomah County, Oregon",2020,"2,007",0,0,1,199,384,884,539
"Census Tract 1.02, Multnomah County, Oregon",2020,"2,889",0,0,0,243,535,"1,192",919
"Census Tract 2.01, Multnomah County, Oregon",2020,"2,697",78,0,1,613,862,684,459
"Census Tract 2.02, Multnomah County, Oregon",2020,"2,197",4,16,0,158,726,717,576
"Census Tract 3.01, Multnomah County, Oregon",2020,"3,769",0,0,43,743,942,"1,088",953
"Census Tract 3.02, Multnomah County, Oregon",2020,"5,577",133,0,0,490,1035,"1,869",2050
"Census Tract 4.01, Multnomah County, Oregon",2020,"2,720",7,9,14,405,679,859,747
"Census Tract 4.02, Multnomah County, Oregon",2020,"2,633",10,0,0,628,808,776,411
"Census Tract 5.01, Multnomah County, Oregon",2020,"3,194",21,10,102,669,836,"1,033",523
"Census Tract 5.02, Multnomah County, Oregon",2020,"3,782",213,19,37,704,1301,"1,012",496
"Census Tract 6.01, Multnomah County, Oregon",2020,"3,984",132,23,73,1351,1178,879,348
"Census Tract 6.02, Multnomah County, Oregon",2020,"4,725",145,7,263,1844,1326,843,297
"Census Tract 7.01, Multnomah County, Oregon",2020,"3,741",32,27,47,477,1292,"1,251",615
"Census Tract 7.02, Multnomah County, Oregon",2020,"4,345",142,26,50,1017,1281,"1,075",754
"Census Tract 8.01, Multnomah County, Oregon",2020,"3,991",46,11,16,427,1353,"1,166",972
"Census Tract 8.02, Multnomah County, Oregon",2020,"4,133",0,0,125,723,1227,"1,608",450
"Census Tract 9.01, Multnomah County, Oregon",2020,"3,509",7,0,12,188,852,"1,494",956
"Census Tract 9.02, Multnomah County, Oregon",2020,"4,162",54,28,114,854,1248,"1,227",637
"Census Tract 10, Multnomah County, Oregon",2020,"4,888",56,0,52,571,1428,"1,623",1158
"Census Tract 11.01, Multnomah County, Oregon",2020,"2,631",9,0,2,461,756,962,441
"Census Tract 11.02, Multnomah County, Oregon",2020,"1,197",0,0,0,109,265,503,320
"Census Tract 12.02, Multnomah County, Oregon",2020,"3,000",0,0,0,538,560,987,915
"Census Tract 12.03, Multnomah County, Oregon",2020,"2,234",19,0,9,283,519,"1,009",395
"Census Tract 12.04, Multnomah County, Oregon",2020,"2,246",8,0,0,325,605,885,423
"Census Tract 13.01, Multnomah County, Oregon",2020,"3,365",31,5,4,291,703,"1,504",827
"Census Tract 13.02, Multnomah County, Oregon",2020,"2,946",23,0,0,244,551,"1,107",1021
"Census Tract 14, Multnomah County, Oregon",2020,"4,645",56,0,50,392,1326,"1,842",979
"Census Tract 15, Multnomah County, Oregon",2020,"2,720",4,0,0,188,577,896,1055
"Census Tract 16.01, Multnomah County, Oregon",2020,"4,480",18,6,71,882,1013,"1,525",965
"Census Tract 16.02, Multnomah County, Oregon",2020,"3,872",67,38,5,893,1148,"1,326",395
"Census Tract 17.02, Multnomah County, Oregon",2020,"2,970",74,1,28,459,1152,916,340
"Census Tract 17.03, Multnomah County, Oregon",2020,"3,049",64,0,10,356,909,959,751
"Census Tract 17.04, Multnomah County, Oregon",2020,"2,137",11,0,0,666,455,578,427
"Census Tract 18.01, Multnomah County, Oregon",2020,"3,713",47,28,5,792,851,"1,282",708
"Census Tract 18.02, Multnomah County, Oregon",2020,"2,855",0,0,0,329,916,922,688
"Census Tract 19, Multnomah County, Oregon",2020,"3,805",0,9,6,305,633,"1,625",1227
"Census Tract 20.01, Multnomah County, Oregon",2020,"2,312",13,0,0,365,486,"1,072",376
"Census Tract 20.02, Multnomah County, Oregon",2020,"3,210",5,0,0,360,919,"1,266",660
"Census Tract 21.01, Multnomah County, Oregon",2020,"1,311",0,0,20,157,215,552,367
"Census Tract 21.02, Multnomah County, Oregon",2020,"1,849",0,0,11,114,497,977,250
"Census Tract 22.03, Multnomah County, Oregon",2020,"3,794",11,0,34,546,674,"1,215",1314
"Census Tract 23.03, Multnomah County, Oregon",2020,"3,179",10,0,0,402,908,"1,295",564
"Census Tract 24.01, Multnomah County, Oregon",2020,"2,197",0,0,0,320,352,735,790
"Census Tract 24.02, Multnomah County, Oregon",2020,"2,874",0,0,0,444,511,"1,255",664
"Census Tract 25.01, Multnomah County, Oregon",2020,"3,556",14,7,0,183,376,"1,388",1588
"Census Tract 25.02, Multnomah County, Oregon",2020,"3,560",31,0,14,368,785,"1,360",1002
"Census Tract 26, Multnomah County, Oregon",2020,"2,229",0,0,0,185,359,953,732
"Census Tract 27.01, Multnomah County, Oregon",2020,"2,188",0,0,0,161,442,875,710
"Census Tract 27.02, Multnomah County, Oregon",2020,"2,987",18,16,0,432,495,"1,338",688
"Census Tract 28.01, Multnomah County, Oregon",2020,"2,363",35,0,0,321,582,904,521
"Census Tract 28.02, Multnomah County, Oregon",2020,"2,515",3,25,0,335,620,913,619
"Census Tract 29.01, Multnomah County, Oregon",2020,"4,010",126,13,0,621,1114,"1,464",672
"Census Tract 29.02, Multnomah County, Oregon",2020,"4,698",112,0,0,648,1158,"1,407",1373
"Census Tract 29.03, Multnomah County, Oregon",2020,"3,457",32,76,0,1043,1295,711,300
"Census Tract 30, Multnomah County, Oregon",2020,"4,031",31,0,14,309,1158,"1,441",1078
"Census Tract 31, Multnomah County, Oregon",2020,"4,173",0,12,10,433,1058,"1,494",1166
"Census Tract 32, Multnomah County, Oregon",2020,"3,425",16,0,20,369,520,"1,274",1226
"Census Tract 33.01, Multnomah County, Oregon",2020,"2,366",65,0,0,438,688,681,494
"Census Tract 33.02, Multnomah County, Oregon",2020,"2,820",0,0,0,776,667,724,653
"Census Tract 34.01, Multnomah County, Oregon",2020,"2,764",9,0,4,497,574,963,717
"Census Tract 34.02, Multnomah County, Oregon",2020,"3,761",0,0,30,394,531,"1,956",850
"Census Tract 35.01, Multnomah County, Oregon",2020,"2,786",39,0,0,374,598,"1,235",540
"Census Tract 35.02, Multnomah County, Oregon",2020,"2,413",10,0,0,597,355,"1,002",449
"Census Tract 36.01, Multnomah County, Oregon",2020,"3,701",9,0,0,473,990,"1,388",841
"Census Tract 36.02, Multnomah County, Oregon",2020,"5,223",58,1,42,609,1591,"1,855",1067
"Census Tract 36.03, Multnomah County, Oregon",2020,"1,487",68,18,0,327,303,535,236
"Census Tract 37.01, Multnomah County, Oregon",2020,"3,503",141,57,148,543,918,"1,116",580
"Census Tract 37.02, Multnomah County, Oregon",2020,"2,260",0,0,0,287,555,927,491
"Census Tract 38.01, Multnomah County, Oregon",2020,"2,228",28,0,7,310,668,778,437
"Census Tract 38.02, Multnomah County, Oregon",2020,"2,688",32,0,40,395,735,965,521
"Census Tract 38.03, Multnomah County, Oregon",2020,"3,487",9,40,41,379,846,"1,652",520
"Census Tract 39.02, Multnomah County, Oregon",2020,"2,886",7,0,21,367,763,955,773
"Census Tract 39.03, Multnomah County, Oregon",2020,"2,900",0,0,149,718,686,771,576
"Census Tract 39.04, Multnomah County, Oregon",2020,"3,142",27,22,22,460,967,"1,025",619
"Census Tract 40.02, Multnomah County, Oregon",2020,"2,990",14,0,5,528,655,966,822
"Census Tract 40.03, Multnomah County, Oregon",2020,"5,051",314,124,73,1600,1432,"1,156",352
"Census Tract 41.02, Multnomah County, Oregon",2020,"4,492",59,11,26,1233,847,"1,529",787
"Census Tract 41.03, Multnomah County, Oregon",2020,"3,380",47,47,0,652,1076,"1,178",380
"Census Tract 41.04, Multnomah County, Oregon",2020,"2,204",0,82,64,792,681,433,152
"Census Tract 42, Multnomah County, Oregon",2020,"3,337",0,0,6,705,879,"1,232",515
"Census Tract 43, Multnomah County, Oregon",2020,843,7,0,0,179,130,255,272
"Census Tract 45, Multnomah County, Oregon",2020,"2,403",41,0,0,139,328,884,1011
"Census Tract 46.01, Multnomah County, Oregon",2020,"2,747",23,0,0,167,322,924,1311
"Census Tract 46.02, Multnomah County, Oregon",2020,"1,536",9,2,0,60,163,570,732
"Census Tract 47, Multnomah County, Oregon",2020,"3,745",0,0,16,358,469,"1,737",1165
"Census Tract 48, Multnomah County, Oregon",2020,"2,230",1,0,12,230,526,992,469
"Census Tract 49.01, Multnomah County, Oregon",2020,"2,122",0,0,1,140,330,"1,148",503
"Census Tract 49.02, Multnomah County, Oregon",2020,"1,977",0,0,0,271,512,677,517
"Census Tract 50.01, Multnomah County, Oregon",2020,"2,605",0,0,29,155,268,"1,104",1049
"Census Tract 50.02, Multnomah County, Oregon",2020,612,0,0,0,0,154,314,144
"Census Tract 51.01, Multnomah County, Oregon",2020,"2,961",0,0,0,286,625,"1,102",948
"Census Tract 51.02, Multnomah County, Oregon",2020,"2,993",0,0,0,192,272,"1,428",1101
"Census Tract 51.03, Multnomah County, Oregon",2020,"2,645",0,0,26,1159,721,330,409
"Census Tract 52.01, Multnomah County, Oregon",2020,"1,629",18,22,8,207,595,445,334
"Census Tract 52.02, Multnomah County, Oregon",2020,"2,195",0,0,0,216,303,"1,062",614
"Census Tract 55, Multnomah County, Oregon",2020,"2,053",39,0,8,282,480,656,588
"Census Tract 56.01, Multnomah County, Oregon",2020,"2,240",22,169,15,277,521,681,555
"Census Tract 56.02, Multnomah County, Oregon",2020,854,29,0,30,184,250,288,73
"Census Tract 57.01, Multnomah County, Oregon",2020,352,0,0,0,67,35,186,64
"Census Tract 57.02, Multnomah County, Oregon",2020,"3,139",47,7,24,146,543,"1,301",1071
"Census Tract 58, Multnomah County, Oregon",2020,"3,729",1,0,24,150,691,"1,352",1511
"Census Tract 59.01, Multnomah County, Oregon",2020,"1,940",0,44,15,91,404,766,620
"Census Tract 59.02, Multnomah County, Oregon",2020,"2,988",0,0,0,106,549,"1,066",1267
"Census Tract 59.03, Multnomah County, Oregon",2020,"2,505",0,0,0,75,254,"1,177",999
"Census Tract 60.01, Multnomah County, Oregon",2020,"1,187",0,0,0,58,177,509,443
"Census Tract 60.02, Multnomah County, Oregon",2020,"1,895",0,0,0,153,291,813,638
"Census Tract 61, Multnomah County, Oregon",2020,"2,057",8,0,6,190,236,859,758
"Census Tract 62, Multnomah County, Oregon",2020,"2,545",2,0,1,191,698,972,681
"Census Tract 63, Multnomah County, Oregon",2020,"3,257",7,0,0,226,591,"1,287",1146
"Census Tract 64.02, Multnomah County, Oregon",2020,"4,463",0,32,0,282,798,"1,582",1769
"Census Tract 64.03, Multnomah County, Oregon",2020,"2,904",60,0,65,468,881,"1,086",344
"Census Tract 64.04, Multnomah County, Oregon",2020,"2,810",8,0,0,315,752,951,784
"Census Tract 65.01, Multnomah County, Oregon",2020,"4,556",0,0,20,528,1098,"1,755",1155
"Census Tract 65.02, Multnomah County, Oregon",2020,"3,753",0,0,1,336,1139,"1,271",1006
"Census Tract 66.01, Multnomah County, Oregon",2020,"2,187",0,0,0,131,482,905,669
"Census Tract 66.02, Multnomah County, Oregon",2020,"4,174",0,0,43,359,807,"1,691",1274
"Census Tract 67.01, Multnomah County, Oregon",2020,"2,398",6,0,0,281,445,"1,051",615
"Census Tract 67.02, Multnomah County, Oregon",2020,"2,413",12,0,75,215,543,917,651
"Census Tract 68.01, Multnomah County, Oregon",2020,"1,533",0,0,13,213,262,485,560
"Census Tract 68.02, Multnomah County, Oregon",2020,"2,572",81,0,8,187,574,756,966
"Census Tract 69, Multnomah County, Oregon",2020,"2,046",0,0,0,92,339,877,738
"Census Tract 70.01, Multnomah County, Oregon",2020,"3,697",0,0,0,197,516,"1,334",1650
"Census Tract 70.02, Multnomah County, Oregon",2020,"2,545",11,0,0,105,402,949,1078
"Census Tract 71, Multnomah County, Oregon",2020,"2,006",42,49,0,334,754,542,285
