Census Tract,Year,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
Census Tract 84; Multnomah County; Oregon,2023,"3,609",231,8,157,1178,1216,638,181
Census Tract 85; Multnomah County; Oregon,2023,"2,811",188,0,35,948,988,455,197
Census Tract 86; Multnomah County; Oregon,2023,"2,687",145,11,51,799,944,484,253
Census Tract 87; Multnomah County; Oregon,2023,"3,447",157,8,25,975,774,"1,020",488
Census Tract 88; Multnomah County; Oregon,2023,"3,141",124,0,21,917,953,709,417
Census Tract 89.02; Multnomah County; Oregon,2023,"3,124",86,39,14,1151,960,666,208
Census Tract 89.03; Multnomah County; Oregon,2023,"3,552",184,0,24,794,1260,634,656
Census Tract 89.04; Multnomah County; Oregon,2023,"3,354",151,148,70,954,922,773,336
Census Tract 90.01; Multnomah County; Oregon,2023,"3,528",61,0,54,1932,1021,342,118
Census Tract 90.02; Multnomah County; Oregon,2023,"3,008",103,55,24,1106,1241,381,98
Census Tract 91.01; Multnomah County; Oregon,2023,"4,155",272,88,166,1555,1286,658,130
Census Tract 91.02; Multnomah County; Oregon,2023,"4,573",244,52,82,1828,1390,539,438
Census Tract 92.02; Multnomah County; Oregon,2023,"4,078",105,146,114,1589,1472,390,262
Census Tract 92.03; Multnomah County; Oregon,2023,"2,342",113,177,37,668,540,464,343
Census Tract 92.04; Multnomah County; Oregon,2023,"3,135",189,0,12,1114,1101,585,134
Census Tract 93.01; Multnomah County; Oregon,2023,"4,119",87,0,111,1583,1520,647,171
Census Tract 93.02; Multnomah County; Oregon,2023,"3,715",113,0,0,986,1313,914,389
Census Tract 94; Multnomah County; Oregon,2023,"5,569",108,50,59,1259,2137,"1,358",598
Census Tract 95.01; Multnomah County; Oregon,2023,"3,275",165,19,23,1118,1068,599,283
Census Tract 95.02; Multnomah County; Oregon,2023,"2,672",96,0,26,806,775,670,299
Census Tract 96.03; Multnomah County; Oregon,2023,"2,518",99,7,70,1086,858,238,160
Census Tract 96.04; Multnomah County; Oregon,2023,"3,630",252,144,130,1219,1214,579,92
Census Tract 96.05; Multnomah County; Oregon,2023,"3,880",67,0,53,1566,1406,557,231
Census Tract 96.06; Multnomah County; Oregon,2023,"3,443",157,11,340,1445,887,391,212
Census Tract 97.01; Multnomah County; Oregon,2023,"2,968",86,4,27,1202,1109,196,344
Census Tract 97.03; Multnomah County; Oregon,2023,"3,663",115,0,282,1405,1242,400,219
Census Tract 97.04; Multnomah County; Oregon,2023,"2,631",15,16,372,1009,795,353,71
Census Tract 98.01; Multnomah County; Oregon,2023,"2,409",170,42,6,600,1083,330,178
Census Tract 98.03; Multnomah County; Oregon,2023,"4,779",262,158,75,1741,1681,671,191
Census Tract 98.04; Multnomah County; Oregon,2023,"2,321",292,0,126,776,756,230,141
Census Tract 99.03; Multnomah County; Oregon,2023,"6,178",152,0,82,1751,2381,"1,156",656
Census Tract 99.04; Multnomah County; Oregon,2023,"2,482",32,42,44,740,1077,292,255
Census Tract 99.05; Multnomah County; Oregon,2023,"2,366",0,0,31,638,1065,389,243
Census Tract 99.06; Multnomah County; Oregon,2023,"2,910",34,21,0,528,1058,945,324
Census Tract 99.07; Multnomah County; Oregon,2023,"3,896",65,33,43,1430,1175,510,640
Census Tract 100.01; Multnomah County; Oregon,2023,"4,306",77,0,143,1538,1431,602,515
Census Tract 100.02; Multnomah County; Oregon,2023,"4,041",76,0,37,1122,1677,793,336
Census Tract 101.01; Multnomah County; Oregon,2023,"2,745",5,106,115,730,1187,390,212
Census Tract 101.02; Multnomah County; Oregon,2023,"3,512",57,234,110,1014,1067,725,305
Census Tract 102; Multnomah County; Oregon,2023,"5,283",112,263,26,1482,2164,959,277
Census Tract 103.03; Multnomah County; Oregon,2023,"3,983",112,35,117,1304,1206,713,496
Census Tract 103.04; Multnomah County; Oregon,2023,"3,344",159,82,332,1358,931,283,199
Census Tract 103.05; Multnomah County; Oregon,2023,"2,484",91,11,10,668,1035,476,193
Census Tract 103.06; Multnomah County; Oregon,2023,"3,076",82,0,0,978,1162,705,149
Census Tract 104.02; Multnomah County; Oregon,2023,"4,078",87,83,58,1175,1572,738,365
Census Tract 104.05; Multnomah County; Oregon,2023,"3,968",57,60,0,1540,1571,412,328
Census Tract 104.07; Multnomah County; Oregon,2023,"4,030",34,0,65,1260,1750,626,295
Census Tract 104.08; Multnomah County; Oregon,2023,"4,591",47,40,312,1817,1452,777,146
Census Tract 104.10; Multnomah County; Oregon,2023,"3,190",35,0,94,1531,1052,223,255
Census Tract 104.11; Multnomah County; Oregon,2023,"2,656",38,0,0,1271,931,236,180
Census Tract 104.12; Multnomah County; Oregon,2023,"2,248",10,0,0,711,664,646,217
Census Tract 104.13; Multnomah County; Oregon,2023,"3,381",90,65,71,840,1285,540,490
Census Tract 105; Multnomah County; Oregon,2023,"2,970",14,0,6,767,896,915,372
Census Tract 106.01; Multnomah County; Oregon,2023,"1,274",26,0,2,108,503,272,363
Census Tract 106.02; Multnomah County; Oregon,2023,"1,917",0,0,0,557,823,385,152
Census Tract 9800; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0
