Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
Census Tract 59.02; Multnomah County; Oregon,2022,718,20,0,12,118,439,70,59,0,3296,0,0,0,191,550,1044,1511
Census Tract 59.03; Multnomah County; Oregon,2022,1049,0,0,0,632,382,10,12,13,2937,0,0,0,198,544,1312,883
Census Tract 60.01; Multnomah County; Oregon,2022,421,0,0,0,56,285,60,12,8,1173,0,0,0,64,152,509,448
Census Tract 60.02; Multnomah County; Oregon,2022,759,6,4,5,61,640,43,0,0,1810,0,0,0,207,283,787,533
Census Tract 61; Multnomah County; Oregon,2022,842,8,0,0,71,568,182,10,3,1925,0,0,0,165,137,822,801
Census Tract 62; Multnomah County; Oregon,2022,1079,0,8,0,215,809,34,0,13,2449,1,0,9,175,434,1112,718
Census Tract 63; Multnomah County; Oregon,2022,1568,0,0,15,259,634,236,138,286,3328,42,0,0,173,588,1389,1136
Census Tract 64.02; Multnomah County; Oregon,2022,2308,14,0,123,513,1446,191,11,10,4608,0,26,0,232,799,1750,1801
Census Tract 64.03; Multnomah County; Oregon,2022,935,0,0,21,239,658,17,0,0,3051,34,0,71,345,992,1063,546
Census Tract 64.04; Multnomah County; Oregon,2022,1091,8,23,100,376,526,58,0,0,2618,0,0,0,301,807,820,690
Census Tract 65.01; Multnomah County; Oregon,2022,2016,0,0,0,588,1307,90,31,0,4503,0,0,0,452,1362,1619,1070
Census Tract 65.02; Multnomah County; Oregon,2022,1339,19,0,315,355,601,34,0,15,3754,18,0,0,220,1274,1479,763
Census Tract 66.01; Multnomah County; Oregon,2022,1046,0,8,10,267,710,34,17,0,2230,0,0,0,144,512,946,628
Census Tract 66.02; Multnomah County; Oregon,2022,1234,0,0,40,270,834,90,0,0,4323,167,0,59,349,1057,1423,1268
Census Tract 67.01; Multnomah County; Oregon,2022,886,10,0,0,177,664,35,0,0,2404,0,0,0,289,477,968,670
Census Tract 67.02; Multnomah County; Oregon,2022,811,0,0,21,192,577,21,0,0,2487,7,0,10,230,642,1079,519
Census Tract 68.01; Multnomah County; Oregon,2022,607,0,0,0,50,417,140,0,0,1641,0,0,11,264,284,465,617
Census Tract 68.02; Multnomah County; Oregon,2022,1077,0,0,0,80,822,165,0,10,2577,24,0,0,206,369,973,1005
Census Tract 69; Multnomah County; Oregon,2022,993,8,13,46,38,318,294,109,167,2089,0,0,0,134,301,864,790
Census Tract 70.01; Multnomah County; Oregon,2022,1941,0,18,0,504,962,396,61,0,4031,0,0,0,90,501,1585,1855
Census Tract 70.02; Multnomah County; Oregon,2022,926,0,0,8,52,431,253,120,62,2084,5,7,0,85,321,871,795
Census Tract 71; Multnomah County; Oregon,2022,867,29,12,20,160,468,149,12,17,1949,0,15,0,340,750,446,398
Census Tract 72.01; Multnomah County; Oregon,2022,1011,176,118,131,351,209,26,0,0,2167,15,11,16,542,786,404,393
Census Tract 72.02; Multnomah County; Oregon,2022,860,58,12,48,435,258,28,12,9,2504,46,58,107,348,974,719,252
Census Tract 73; Multnomah County; Oregon,2022,85,0,0,39,9,32,5,0,0,1077,6,5,21,563,447,9,26
Census Tract 74; Multnomah County; Oregon,2022,721,90,17,0,258,342,9,0,5,2348,39,82,110,442,677,655,343
Census Tract 75; Multnomah County; Oregon,2022,1191,44,0,67,706,304,52,0,18,3707,18,4,0,850,912,1271,652
Census Tract 76; Multnomah County; Oregon,2022,924,85,31,72,509,208,19,0,0,2505,52,0,92,428,704,874,355
Census Tract 77; Multnomah County; Oregon,2022,669,26,28,114,464,37,0,0,0,1729,25,0,60,468,473,562,141
Census Tract 78; Multnomah County; Oregon,2022,503,7,0,25,287,184,0,0,0,1511,10,1,47,493,474,340,146
Census Tract 79; Multnomah County; Oregon,2022,1000,0,7,20,687,286,0,0,0,3227,128,0,138,977,982,646,356
Census Tract 80.01; Multnomah County; Oregon,2022,923,13,0,85,704,105,16,0,0,2331,92,0,23,660,778,619,159
Census Tract 80.02; Multnomah County; Oregon,2022,793,15,0,18,641,119,0,0,0,2404,56,0,65,771,829,518,165
Census Tract 81; Multnomah County; Oregon,2022,1133,33,0,97,904,99,0,0,0,6088,102,70,120,2623,1457,1191,525
Census Tract 82.01; Multnomah County; Oregon,2022,715,8,0,50,433,224,0,0,0,2470,161,67,31,622,666,603,320
Census Tract 82.03; Multnomah County; Oregon,2022,823,0,16,124,572,111,0,0,0,4026,0,71,56,1514,1422,648,315
Census Tract 82.04; Multnomah County; Oregon,2022,643,0,67,100,440,36,0,0,0,1656,130,28,14,647,639,62,136
Census Tract 83.01; Multnomah County; Oregon,2022,716,20,0,90,565,41,0,0,0,3079,179,45,179,999,788,640,249
Census Tract 83.02; Multnomah County; Oregon,2022,955,63,27,28,809,28,0,0,0,3943,146,116,32,1305,1324,646,374
Census Tract 84; Multnomah County; Oregon,2022,846,13,53,82,611,87,0,0,0,3376,127,9,165,1155,1200,612,108
Census Tract 85; Multnomah County; Oregon,2022,949,0,9,53,759,128,0,0,0,2967,186,12,23,1029,993,509,215
Census Tract 86; Multnomah County; Oregon,2022,1000,148,0,40,684,128,0,0,0,2835,79,13,73,925,1062,450,233
Census Tract 87; Multnomah County; Oregon,2022,1219,46,0,110,807,256,0,0,0,3568,178,67,20,1214,887,805,397
Census Tract 88; Multnomah County; Oregon,2022,1116,8,0,101,840,158,0,0,9,3117,123,0,65,812,961,688,468
Census Tract 89.02; Multnomah County; Oregon,2022,587,14,0,35,351,187,0,0,0,3131,64,59,0,1135,1076,592,205
Census Tract 89.03; Multnomah County; Oregon,2022,1522,28,0,9,740,745,0,0,0,3567,56,0,23,831,1323,688,646
Census Tract 89.04; Multnomah County; Oregon,2022,905,21,45,38,527,274,0,0,0,3495,76,149,64,1175,1032,682,317
Census Tract 90.01; Multnomah County; Oregon,2022,1216,64,31,135,835,151,0,0,0,3760,23,0,65,1806,1258,418,190
Census Tract 90.02; Multnomah County; Oregon,2022,587,0,66,11,460,50,0,0,0,2907,123,88,103,825,1207,422,139
Census Tract 91.01; Multnomah County; Oregon,2022,1181,109,43,199,658,172,0,0,0,4170,302,153,134,1655,1191,631,104
Census Tract 91.02; Multnomah County; Oregon,2022,1697,98,25,353,968,253,0,0,0,4417,105,49,105,1740,1386,611,421
Census Tract 92.02; Multnomah County; Oregon,2022,1065,27,0,166,776,88,0,0,8,4195,129,160,127,1579,1494,413,293
Census Tract 92.03; Multnomah County; Oregon,2022,818,73,17,58,602,68,0,0,0,2186,52,60,36,694,556,479,309
Census Tract 92.04; Multnomah County; Oregon,2022,898,25,0,129,622,98,0,0,24,3091,99,30,43,1074,1132,632,81
Census Tract 93.01; Multnomah County; Oregon,2022,898,42,0,134,575,147,0,0,0,3810,86,43,103,1385,1366,725,102
Census Tract 93.02; Multnomah County; Oregon,2022,1003,43,7,100,743,110,0,0,0,3651,98,0,0,1019,1468,734,332
Census Tract 94; Multnomah County; Oregon,2022,2510,19,0,156,1946,389,0,0,0,5491,94,40,87,1072,2027,1590,581
Census Tract 95.01; Multnomah County; Oregon,2022,1287,62,16,109,702,398,0,0,0,3251,148,10,31,1033,1063,650,316
Census Tract 95.02; Multnomah County; Oregon,2022,969,23,0,7,679,260,0,0,0,2731,92,0,22,826,735,652,404
Census Tract 96.03; Multnomah County; Oregon,2022,876,12,0,120,736,8,0,0,0,2441,120,20,78,992,898,222,111
Census Tract 96.04; Multnomah County; Oregon,2022,959,113,86,154,606,0,0,0,0,3859,407,187,171,1200,1221,531,142
Census Tract 96.05; Multnomah County; Oregon,2022,1308,0,0,36,788,484,0,0,0,4590,57,0,139,1554,1647,811,382
Census Tract 96.06; Multnomah County; Oregon,2022,753,36,0,76,624,10,7,0,0,3632,134,51,325,1543,1019,315,245
Census Tract 97.01; Multnomah County; Oregon,2022,1157,0,2,174,931,50,0,0,0,3180,71,23,80,1188,1330,262,226
Census Tract 97.03; Multnomah County; Oregon,2022,1091,139,48,160,655,89,0,0,0,3633,167,45,259,1186,1416,381,179
Census Tract 97.04; Multnomah County; Oregon,2022,1016,29,0,36,912,39,0,0,0,2590,0,15,292,1115,808,307,53
Census Tract 98.01; Multnomah County; Oregon,2022,459,100,49,29,256,15,10,0,0,2586,134,53,22,748,1186,298,145
Census Tract 98.03; Multnomah County; Oregon,2022,1261,30,14,232,940,45,0,0,0,5168,107,180,93,1923,1828,710,327
Census Tract 98.04; Multnomah County; Oregon,2022,679,51,23,60,505,40,0,0,0,2384,191,0,125,853,808,255,152
Census Tract 99.03; Multnomah County; Oregon,2022,2262,0,0,78,1092,1057,18,0,17,5721,158,0,125,1449,2091,1224,674
Census Tract 99.04; Multnomah County; Oregon,2022,878,12,0,186,555,125,0,0,0,2493,40,36,40,740,1037,442,158
Census Tract 99.05; Multnomah County; Oregon,2022,863,32,0,7,751,73,0,0,0,2230,0,0,36,793,850,329,222
Census Tract 99.06; Multnomah County; Oregon,2022,1344,23,3,10,803,505,0,0,0,2994,43,12,0,438,1124,1009,368
Census Tract 99.07; Multnomah County; Oregon,2022,1547,14,11,52,697,718,55,0,0,4000,40,37,49,1430,1335,660,449
Census Tract 100.01; Multnomah County; Oregon,2022,791,21,28,24,534,146,19,0,19,4472,109,0,85,1614,1507,604,553
Census Tract 100.02; Multnomah County; Oregon,2022,1317,20,0,55,1060,158,0,0,24,4067,86,0,42,1090,1823,740,286
Census Tract 101.01; Multnomah County; Oregon,2022,856,115,14,83,620,24,0,0,0,2864,0,89,105,1054,1102,314,200
Census Tract 101.02; Multnomah County; Oregon,2022,688,0,0,57,539,92,0,0,0,3152,19,232,95,778,1096,601,331
Census Tract 102; Multnomah County; Oregon,2022,1965,284,91,179,1125,221,65,0,0,5302,82,68,84,1713,2119,916,320
Census Tract 103.03; Multnomah County; Oregon,2022,1145,61,46,65,811,130,0,0,32,3751,89,35,111,1122,1342,566,486
Census Tract 103.04; Multnomah County; Oregon,2022,837,224,11,99,401,102,0,0,0,3097,109,101,261,1341,899,209,177
Census Tract 103.05; Multnomah County; Oregon,2022,990,82,54,58,668,121,7,0,0,2395,119,17,0,711,1027,391,130
Census Tract 103.06; Multnomah County; Oregon,2022,1306,0,0,60,1098,148,0,0,0,3199,109,0,0,1104,1217,637,132
Census Tract 104.02; Multnomah County; Oregon,2022,1523,0,12,37,699,730,45,0,0,4150,112,57,54,1154,1552,851,370
Census Tract 104.05; Multnomah County; Oregon,2022,1146,0,0,14,980,152,0,0,0,4113,37,78,0,1683,1532,451,332
Census Tract 104.07; Multnomah County; Oregon,2022,1184,49,9,19,767,331,9,0,0,4092,50,0,65,1244,1751,629,353
Census Tract 104.08; Multnomah County; Oregon,2022,1404,221,121,77,730,229,26,0,0,4538,49,40,136,1937,1535,774,67
Census Tract 104.10; Multnomah County; Oregon,2022,655,20,0,142,457,36,0,0,0,3313,24,0,63,1510,1110,354,252
Census Tract 104.11; Multnomah County; Oregon,2022,697,46,60,152,421,18,0,0,0,2486,59,0,0,1126,984,168,149
Census Tract 104.12; Multnomah County; Oregon,2022,837,11,9,8,485,324,0,0,0,2201,9,0,0,802,757,505,128
Census Tract 104.13; Multnomah County; Oregon,2022,1157,0,0,59,698,400,0,0,0,3417,118,0,71,844,1339,570,475
Census Tract 105; Multnomah County; Oregon,2022,1149,22,0,69,206,773,79,0,0,2723,5,0,11,608,920,847,332
Census Tract 106.01; Multnomah County; Oregon,2022,268,0,0,15,122,81,0,50,0,1305,25,0,52,208,510,216,294
Census Tract 106.02; Multnomah County; Oregon,2022,26,0,0,0,26,0,0,0,0,1879,0,0,56,604,767,321,131
Census Tract 9800; Multnomah County; Oregon,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Census Tract 1.01; Multnomah County; Oregon,2023,716,45,0,0,209,387,75,0,0,2445,0,0,0,209,416,1055,765
Census Tract 1.02; Multnomah County; Oregon,2023,1043,0,24,43,183,693,100,0,0,2871,0,0,0,268,563,1091,949
Census Tract 2.01; Multnomah County; Oregon,2023,834,11,0,0,74,704,45,0,0,2796,32,0,29,451,583,945,756
Census Tract 2.02; Multnomah County; Oregon,2023,726,16,0,0,88,572,50,0,0,2666,37,12,13,307,611,1003,683
Census Tract 3.01; Multnomah County; Oregon,2023,1026,0,0,0,147,830,45,4,0,3494,0,0,25,509,933,1129,898
Census Tract 3.02; Multnomah County; Oregon,2023,2504,13,0,20,197,1694,551,29,0,5322,59,0,0,338,871,1977,2077
Census Tract 4.01; Multnomah County; Oregon,2023,1118,6,0,8,302,779,23,0,0,2832,40,0,0,403,557,1093,739
Census Tract 4.02; Multnomah County; Oregon,2023,1108,10,0,37,485,571,5,0,0,2628,12,0,0,383,684,951,598
Census Tract 5.01; Multnomah County; Oregon,2023,1274,0,20,9,787,436,12,0,10,3248,24,8,109,573,762,1226,546
Census Tract 5.02; Multnomah County; Oregon,2023,1257,18,0,22,759,458,0,0,0,3526,119,3,58,540,1137,988,681
Census Tract 6.01; Multnomah County; Oregon,2023,1584,1,0,52,1022,482,16,0,11,3968,39,21,34,1349,1089,864,572
Census Tract 6.02; Multnomah County; Oregon,2023,1218,18,0,24,871,305,0,0,0,4245,180,0,71,1794,1125,667,408
Census Tract 7.01; Multnomah County; Oregon,2023,1347,0,27,58,637,625,0,0,0,3893,62,0,21,679,1192,1184,755
Census Tract 7.02; Multnomah County; Oregon,2023,1283,0,15,11,669,573,15,0,0,4195,77,29,16,779,1182,1237,875
Census Tract 8.01; Multnomah County; Oregon,2023,1278,12,0,0,212,1037,17,0,0,3693,0,16,28,337,934,1191,1187
Census Tract 8.02; Multnomah County; Oregon,2023,1222,0,0,0,502,720,0,0,0,3976,34,0,19,611,1158,1615,539
Census Tract 9.01; Multnomah County; Oregon,2023,840,0,0,9,124,601,92,14,0,3026,0,0,0,359,567,1347,753
Census Tract 9.02; Multnomah County; Oregon,2023,702,0,8,0,199,495,0,0,0,3742,72,10,11,435,1148,1301,765
Census Tract 10; Multnomah County; Oregon,2023,1111,12,23,0,269,763,44,0,0,4998,14,0,49,585,1592,1535,1223
Census Tract 11.01; Multnomah County; Oregon,2023,144,0,0,0,41,86,17,0,0,2750,0,0,0,374,949,979,448
Census Tract 11.02; Multnomah County; Oregon,2023,351,0,0,0,19,261,42,0,29,1139,7,0,0,95,216,488,333
Census Tract 12.02; Multnomah County; Oregon,2023,901,10,0,0,94,422,355,0,20,2670,0,0,18,414,454,899,885
Census Tract 12.03; Multnomah County; Oregon,2023,415,0,0,0,84,331,0,0,0,2340,0,0,30,231,598,990,491
Census Tract 12.04; Multnomah County; Oregon,2023,227,0,7,11,34,162,13,0,0,2291,20,0,61,211,454,1074,471
Census Tract 13.01; Multnomah County; Oregon,2023,716,7,0,46,200,417,46,0,0,3328,16,0,0,199,678,1592,843
Census Tract 13.02; Multnomah County; Oregon,2023,925,0,0,7,88,786,44,0,0,2847,14,0,0,231,582,1047,973
Census Tract 14; Multnomah County; Oregon,2023,1627,0,47,30,331,1146,73,0,0,4862,103,0,15,407,1118,1987,1232
Census Tract 15; Multnomah County; Oregon,2023,1124,0,9,0,47,953,73,23,19,2807,6,0,5,191,429,1089,1087
Census Tract 16.01; Multnomah County; Oregon,2023,1720,25,0,26,368,1139,147,15,0,4558,0,8,9,873,848,1698,1122
Census Tract 16.02; Multnomah County; Oregon,2023,1596,63,29,0,1265,239,0,0,0,3587,127,13,41,789,912,1259,446
Census Tract 17.02; Multnomah County; Oregon,2023,1000,0,0,19,679,297,0,0,5,2839,35,16,14,530,817,1119,308
Census Tract 17.03; Multnomah County; Oregon,2023,1060,25,0,89,444,502,0,0,0,3075,0,0,9,415,659,1252,740
Census Tract 17.04; Multnomah County; Oregon,2023,911,0,0,214,161,536,0,0,0,2356,13,0,16,597,376,832,522
Census Tract 18.01; Multnomah County; Oregon,2023,736,0,0,0,312,424,0,0,0,3686,11,2,0,1068,888,1038,679
Census Tract 18.02; Multnomah County; Oregon,2023,879,0,0,8,174,639,47,11,0,2956,11,0,14,299,726,1159,747
Census Tract 19; Multnomah County; Oregon,2023,1651,0,0,11,51,1110,388,76,15,3602,9,0,0,263,536,1304,1490
Census Tract 20.01; Multnomah County; Oregon,2023,428,0,6,61,58,242,40,21,0,1860,0,0,0,211,368,846,435
Census Tract 20.02; Multnomah County; Oregon,2023,384,31,0,0,81,242,30,0,0,3102,12,0,0,423,993,1099,575
Census Tract 21.01; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0,0,1591,0,0,0,251,309,647,384
Census Tract 21.02; Multnomah County; Oregon,2023,86,0,0,7,20,59,0,0,0,2050,0,0,0,140,516,818,576
Census Tract 22.03; Multnomah County; Oregon,2023,675,0,1,0,72,522,56,24,0,3887,0,0,0,598,625,1371,1293
Census Tract 23.03; Multnomah County; Oregon,2023,202,0,0,66,9,127,0,0,0,3521,27,0,19,670,1068,1087,650
Census Tract 24.01; Multnomah County; Oregon,2023,898,0,4,84,0,544,232,26,8,2317,0,0,17,191,293,853,963
Census Tract 24.02; Multnomah County; Oregon,2023,562,0,0,6,219,260,59,0,18,3036,0,29,0,496,571,1218,722
Census Tract 25.01; Multnomah County; Oregon,2023,1606,8,0,7,40,937,503,102,9,3339,22,0,7,141,465,1294,1410
Census Tract 25.02; Multnomah County; Oregon,2023,762,14,0,10,138,328,211,31,30,3348,37,0,0,170,860,1436,845
Census Tract 26; Multnomah County; Oregon,2023,1033,0,108,0,39,704,182,0,0,2027,0,0,0,265,336,981,445
Census Tract 27.01; Multnomah County; Oregon,2023,1105,0,0,0,14,883,161,47,0,2224,11,0,18,166,452,740,837
Census Tract 27.02; Multnomah County; Oregon,2023,675,0,0,9,54,595,8,9,0,2831,0,0,0,317,628,1282,604
Census Tract 28.01; Multnomah County; Oregon,2023,1071,5,13,0,62,846,138,0,7,2496,16,0,5,283,444,1107,641
Census Tract 28.02; Multnomah County; Oregon,2023,888,7,0,6,142,701,32,0,0,2234,4,15,0,240,483,955,537
Census Tract 29.01; Multnomah County; Oregon,2023,1537,0,0,29,500,1008,0,0,0,3879,1,0,0,444,1113,1671,650
Census Tract 29.02; Multnomah County; Oregon,2023,1921,0,0,0,814,1097,10,0,0,4906,18,64,74,671,1223,1456,1400
Census Tract 29.03; Multnomah County; Oregon,2023,1016,0,0,0,713,253,50,0,0,3356,108,0,0,619,1370,718,541
Census Tract 30; Multnomah County; Oregon,2023,1763,0,30,0,153,1559,21,0,0,3794,18,0,0,356,1130,1382,908
Census Tract 31; Multnomah County; Oregon,2023,1385,23,0,0,65,1000,243,37,17,4117,1,8,0,369,998,1416,1325
Census Tract 32; Multnomah County; Oregon,2023,1159,17,22,0,88,904,90,38,0,3317,0,0,21,379,541,1307,1069
Census Tract 33.01; Multnomah County; Oregon,2023,572,0,9,28,105,396,34,0,0,2231,45,0,9,279,583,838,477
Census Tract 33.02; Multnomah County; Oregon,2023,935,7,7,0,126,685,110,0,0,2956,0,0,0,675,785,765,731
Census Tract 34.01; Multnomah County; Oregon,2023,700,0,7,0,103,558,32,0,0,2798,14,0,5,463,574,1116,626
Census Tract 34.02; Multnomah County; Oregon,2023,616,22,0,0,231,363,0,0,0,3988,13,0,23,706,752,1815,679
Census Tract 35.01; Multnomah County; Oregon,2023,972,67,0,0,268,600,37,0,0,3146,15,36,13,339,643,1452,648
Census Tract 35.02; Multnomah County; Oregon,2023,641,0,0,9,108,456,68,0,0,2474,13,0,0,635,371,956,499
Census Tract 36.01; Multnomah County; Oregon,2023,1235,93,0,114,204,757,67,0,0,3394,18,0,0,517,991,1247,621
Census Tract 36.02; Multnomah County; Oregon,2023,2093,25,0,15,440,1613,0,0,0,5020,0,26,58,509,1219,2168,1040
Census Tract 36.03; Multnomah County; Oregon,2023,546,0,8,0,104,392,30,0,12,1370,55,17,6,253,274,500,265
Census Tract 37.01; Multnomah County; Oregon,2023,1029,0,7,8,265,749,0,0,0,3514,135,0,9,514,1068,1140,648
Census Tract 37.02; Multnomah County; Oregon,2023,718,29,0,9,137,455,88,0,0,1946,0,11,3,201,312,850,569
Census Tract 38.01; Multnomah County; Oregon,2023,751,0,0,11,280,460,0,0,0,2145,0,0,6,321,537,750,531
Census Tract 38.02; Multnomah County; Oregon,2023,889,11,0,7,268,603,0,0,0,2689,41,0,26,352,801,1065,404
Census Tract 38.03; Multnomah County; Oregon,2023,1100,0,0,43,271,786,0,0,0,3211,41,0,0,402,575,1675,518
Census Tract 39.02; Multnomah County; Oregon,2023,1175,9,9,9,213,911,8,0,16,2544,0,8,20,336,577,922,681
Census Tract 39.03; Multnomah County; Oregon,2023,678,7,0,5,332,334,0,0,0,2534,1,36,32,537,574,841,513
Census Tract 39.04; Multnomah County; Oregon,2023,1347,12,15,5,454,861,0,0,0,3184,0,69,28,273,1156,1010,648
Census Tract 40.02; Multnomah County; Oregon,2023,1232,0,0,0,512,709,11,0,0,3043,5,9,16,574,845,912,682
Census Tract 40.03; Multnomah County; Oregon,2023,1675,13,31,90,1004,537,0,0,0,5206,172,111,97,1397,1596,1177,656
Census Tract 41.02; Multnomah County; Oregon,2023,1704,0,13,46,994,631,0,0,20,4053,92,0,37,871,952,1253,848
Census Tract 41.03; Multnomah County; Oregon,2023,1159,6,0,36,799,318,0,0,0,3217,133,0,47,1170,799,639,429
Census Tract 41.04; Multnomah County; Oregon,2023,555,16,16,13,319,191,0,0,0,2030,61,0,0,635,611,455,268
Census Tract 42; Multnomah County; Oregon,2023,891,4,10,100,531,246,0,0,0,3243,5,0,13,440,928,1345,512
Census Tract 43; Multnomah County; Oregon,2023,426,0,0,4,130,188,95,9,0,881,0,0,0,158,189,266,268
Census Tract 45; Multnomah County; Oregon,2023,654,0,0,0,55,343,190,57,9,2643,37,0,0,143,502,955,1006
Census Tract 46.01; Multnomah County; Oregon,2023,1333,15,0,16,125,479,328,250,120,2873,27,0,0,187,222,1046,1391
Census Tract 46.02; Multnomah County; Oregon,2023,623,0,6,26,22,203,223,70,73,1585,0,6,0,132,205,591,651
Census Tract 47; Multnomah County; Oregon,2023,582,0,0,0,94,177,240,58,13,2973,34,12,8,299,263,1329,1028
Census Tract 48; Multnomah County; Oregon,2023,188,0,0,0,54,79,44,11,0,2167,88,0,0,243,692,737,407
Census Tract 49.01; Multnomah County; Oregon,2023,256,0,0,24,60,91,58,23,0,2861,66,0,1,95,591,1421,687
Census Tract 49.02; Multnomah County; Oregon,2023,135,0,0,0,47,29,59,0,0,1790,0,0,0,167,609,585,429
Census Tract 50.01; Multnomah County; Oregon,2023,563,0,0,0,281,236,29,17,0,3075,0,0,35,239,361,1381,1059
Census Tract 50.02; Multnomah County; Oregon,2023,158,14,0,90,13,21,20,0,0,1138,0,0,0,148,166,538,286
Census Tract 51.01; Multnomah County; Oregon,2023,722,0,0,15,170,336,201,0,0,3707,0,0,0,309,692,1311,1395
Census Tract 51.02; Multnomah County; Oregon,2023,684,0,0,20,254,284,95,0,31,2838,0,0,0,184,451,980,1223
Census Tract 51.03; Multnomah County; Oregon,2023,383,0,0,0,274,50,59,0,0,3082,96,0,47,1102,665,530,642
Census Tract 52.01; Multnomah County; Oregon,2023,25,0,0,25,0,0,0,0,0,1937,0,12,19,325,459,603,519
Census Tract 52.02; Multnomah County; Oregon,2023,491,0,0,0,223,195,29,29,15,2436,40,0,0,237,436,946,777
Census Tract 55; Multnomah County; Oregon,2023,381,13,0,42,163,148,0,15,0,1888,45,0,0,206,445,696,496
Census Tract 56.01; Multnomah County; Oregon,2023,346,14,0,20,114,177,21,0,0,2166,104,109,54,257,425,673,544
Census Tract 56.02; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0,0,871,0,0,40,206,332,165,128
Census Tract 57.01; Multnomah County; Oregon,2023,39,0,0,0,0,33,0,0,6,407,0,0,0,71,45,130,161
Census Tract 57.02; Multnomah County; Oregon,2023,849,0,0,0,428,391,12,18,0,3610,16,0,0,273,757,1256,1308
Census Tract 58; Multnomah County; Oregon,2023,1211,0,0,27,74,624,351,69,66,3571,21,0,28,143,701,1276,1402
Census Tract 59.01; Multnomah County; Oregon,2023,400,0,10,28,48,304,10,0,0,1955,13,0,0,115,496,799,532
Census Tract 59.02; Multnomah County; Oregon,2023,779,22,0,13,92,522,83,47,0,3293,9,0,0,153,532,1035,1564
Census Tract 59.03; Multnomah County; Oregon,2023,1006,0,0,8,549,406,43,0,0,2816,0,0,0,148,602,1202,864
Census Tract 60.01; Multnomah County; Oregon,2023,410,0,0,14,37,231,104,5,19,1212,0,0,0,46,186,561,419
Census Tract 60.02; Multnomah County; Oregon,2023,746,0,5,5,51,650,35,0,0,1689,0,0,0,171,287,727,504
Census Tract 61; Multnomah County; Oregon,2023,829,0,0,0,64,561,190,9,5,1817,0,0,0,50,141,809,817
Census Tract 62; Multnomah County; Oregon,2023,1124,0,8,0,215,813,76,0,12,2481,1,0,6,135,452,1225,662
Census Tract 63; Multnomah County; Oregon,2023,1617,0,9,19,136,783,222,139,309,3372,34,0,0,187,528,1460,1163
Census Tract 64.02; Multnomah County; Oregon,2023,2261,14,0,123,315,1522,278,0,9,4611,0,0,0,297,833,1804,1677
Census Tract 64.03; Multnomah County; Oregon,2023,963,0,0,52,219,664,28,0,0,3001,84,0,56,336,925,1061,539
Census Tract 64.04; Multnomah County; Oregon,2023,1233,0,19,65,459,603,87,0,0,2734,0,0,0,274,792,951,717
Census Tract 65.01; Multnomah County; Oregon,2023,2110,0,0,0,629,1340,89,37,15,4448,0,0,0,371,1261,1779,1037
Census Tract 65.02; Multnomah County; Oregon,2023,1234,24,0,44,452,645,55,0,14,3833,21,0,0,237,1374,1489,712
Census Tract 66.01; Multnomah County; Oregon,2023,991,0,8,12,184,742,36,9,0,2183,0,0,0,128,541,986,528
Census Tract 66.02; Multnomah County; Oregon,2023,1119,19,0,16,128,840,116,0,0,4353,154,0,48,482,1128,1381,1160
Census Tract 67.01; Multnomah County; Oregon,2023,861,15,0,0,129,675,42,0,0,2365,0,0,0,243,357,1005,760
Census Tract 67.02; Multnomah County; Oregon,2023,722,0,9,21,158,495,39,0,0,2440,18,14,0,232,634,986,556
Census Tract 68.01; Multnomah County; Oregon,2023,614,0,0,0,37,429,148,0,0,1529,0,0,12,221,207,501,588
Census Tract 68.02; Multnomah County; Oregon,2023,1112,0,0,0,70,820,202,8,12,2546,18,0,0,157,323,1020,1028
Census Tract 69; Multnomah County; Oregon,2023,1049,8,15,56,20,328,305,124,193,2310,0,0,0,136,256,975,943
Census Tract 70.01; Multnomah County; Oregon,2023,1999,0,23,0,449,901,575,32,19,4037,0,0,0,103,449,1688,1797
Census Tract 70.02; Multnomah County; Oregon,2023,954,0,0,28,26,298,361,148,93,2213,5,10,0,101,360,924,813
Census Tract 71; Multnomah County; Oregon,2023,936,26,9,56,181,474,143,28,19,2109,0,21,0,388,729,553,418
Census Tract 72.01; Multnomah County; Oregon,2023,1034,170,124,162,314,196,68,0,0,2029,8,14,35,424,758,425,365
Census Tract 72.02; Multnomah County; Oregon,2023,932,48,56,66,410,292,35,15,10,2652,59,61,114,452,856,845,265
Census Tract 73; Multnomah County; Oregon,2023,100,0,0,33,13,49,5,0,0,1142,4,6,5,606,439,44,38
Census Tract 74; Multnomah County; Oregon,2023,696,90,56,9,254,274,8,0,5,2439,91,70,139,455,662,753,269
Census Tract 75; Multnomah County; Oregon,2023,1408,36,0,19,588,700,51,0,14,3550,23,4,0,841,817,1089,776
Census Tract 76; Multnomah County; Oregon,2023,836,67,6,10,459,280,14,0,0,2527,55,114,136,369,629,823,401
Census Tract 77; Multnomah County; Oregon,2023,688,47,34,106,451,41,0,0,9,1688,43,0,62,458,435,572,118
Census Tract 78; Multnomah County; Oregon,2023,519,9,0,8,236,266,0,0,0,1521,34,1,34,472,416,415,149
