Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
"Census Tract 1.02, Multnomah County, Oregon",2020,1196,0,32,40,377,638,96,13,0
"Census Tract 2.01, Multnomah County, Oregon",2020,736,0,0,0,211,507,18,0,0
"Census Tract 2.02, Multnomah County, Oregon",2020,569,4,0,0,218,347,0,0,0
"Census Tract 3.01, Multnomah County, Oregon",2020,1019,0,0,17,249,736,17,0,0
"Census Tract 3.02, Multnomah County, Oregon",2020,2461,0,14,17,611,1616,164,0,39
"Census Tract 4.01, Multnomah County, Oregon",2020,1062,0,0,27,651,384,0,0,0
"Census Tract 4.02, Multnomah County, Oregon",2020,965,7,10,98,696,154,0,0,0
"Census Tract 5.01, Multnomah County, Oregon",2020,1236,16,0,37,997,177,9,0,0
"Census Tract 5.02, Multnomah County, Oregon",2020,1204,21,0,130,1001,52,0,0,0
"Census Tract 6.01, Multnomah County, Oregon",2020,1687,16,8,269,968,419,0,0,7
"Census Tract 6.02, Multnomah County, Oregon",2020,1219,79,7,338,722,57,0,0,16
"Census Tract 7.01, Multnomah County, Oregon",2020,1421,0,0,75,1068,278,0,0,0
"Census Tract 7.02, Multnomah County, Oregon",2020,1281,0,0,80,1119,64,18,0,0
"Census Tract 8.01, Multnomah County, Oregon",2020,1183,0,0,78,496,609,0,0,0
"Census Tract 8.02, Multnomah County, Oregon",2020,1124,0,17,34,803,270,0,0,0
"Census Tract 9.01, Multnomah County, Oregon",2020,927,0,0,20,274,626,7,0,0
"Census Tract 9.02, Multnomah County, Oregon",2020,744,17,0,14,494,219,0,0,0
"Census Tract 10, Multnomah County, Oregon",2020,1067,0,12,40,509,471,35,0,0
"Census Tract 11.01, Multnomah County, Oregon",2020,127,5,0,0,30,86,6,0,0
"Census Tract 11.02, Multnomah County, Oregon",2020,309,0,0,0,71,186,18,0,34
"Census Tract 12.02, Multnomah County, Oregon",2020,1010,22,10,18,164,725,59,0,12
"Census Tract 12.03, Multnomah County, Oregon",2020,327,0,0,18,108,184,17,0,0
"Census Tract 12.04, Multnomah County, Oregon",2020,137,0,16,31,55,35,0,0,0
"Census Tract 13.01, Multnomah County, Oregon",2020,579,8,0,19,242,310,0,0,0
"Census Tract 13.02, Multnomah County, Oregon",2020,907,0,7,11,197,692,0,0,0
"Census Tract 14, Multnomah County, Oregon",2020,1159,44,0,49,450,616,0,0,0
"Census Tract 15, Multnomah County, Oregon",2020,1133,0,0,13,290,776,41,13,0
"Census Tract 16.01, Multnomah County, Oregon",2020,1457,23,19,56,493,767,62,37,0
"Census Tract 16.02, Multnomah County, Oregon",2020,1494,62,26,140,1180,80,6,0,0
"Census Tract 17.02, Multnomah County, Oregon",2020,821,0,0,170,632,19,0,0,0
"Census Tract 17.03, Multnomah County, Oregon",2020,1212,25,0,130,815,242,0,0,0
