Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
Census Tract 103.06; Multnomah County; Oregon,2023,1302,9,0,47,994,252,0,0,0
Census Tract 104.02; Multnomah County; Oregon,2023,1445,0,31,47,510,823,34,0,0
Census Tract 104.05; Multnomah County; Oregon,2023,1174,0,0,33,964,177,0,0,0
Census Tract 104.07; Multnomah County; Oregon,2023,1189,31,6,19,710,415,8,0,0
Census Tract 104.08; Multnomah County; Oregon,2023,1432,179,123,100,727,285,18,0,0
Census Tract 104.10; Multnomah County; Oregon,2023,729,11,0,138,495,85,0,0,0
Census Tract 104.11; Multnomah County; Oregon,2023,684,41,30,162,417,34,0,0,0
Census Tract 104.12; Multnomah County; Oregon,2023,981,7,21,4,352,597,0,0,0
Census Tract 104.13; Multnomah County; Oregon,2023,1196,0,0,67,639,490,0,0,0
Census Tract 105; Multnomah County; Oregon,2023,1186,9,8,50,110,905,104,0,0
Census Tract 106.01; Multnomah County; Oregon,2023,303,0,0,40,106,93,0,54,10
Census Tract 106.02; Multnomah County; Oregon,2023,25,0,0,0,25,0,0,0,0
Census Tract 9800; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0,0
